Region,Market,Store,Feature Name ,"Feature Size (Half pallet, pallet, endcap, etc..)",Delivery Week
42,323,1,5Ft Skeleton,Endcap,32
42,322,2,5Ft Skeleton,Endcap,32
2,21,3,5Ft Skeleton,Endcap,32
42,323,4,5Ft Skeleton,Endcap,32
42,326,5,5Ft Skeleton,Endcap,32
42,326,7,5Ft Skeleton,Endcap,32
40,335,9,5Ft Skeleton,Endcap,32
44,347,10,5Ft Skeleton,Endcap,32
42,328,11,5Ft Skeleton,Endcap,32
44,347,12,5Ft Skeleton,Endcap,32
40,357,14,5Ft Skeleton,Endcap,32
40,333,15,5Ft Skeleton,Endcap,32
42,321,16,5Ft Skeleton,Endcap,32
42,334,17,5Ft Skeleton,Endcap,32
40,335,19,5Ft Skeleton,Endcap,32
40,361,20,5Ft Skeleton,Endcap,32
40,336,21,5Ft Skeleton,Endcap,32
44,347,22,5Ft Skeleton,Endcap,32
42,135,23,5Ft Skeleton,Endcap,32
42,326,24,5Ft Skeleton,Endcap,32
40,359,25,5Ft Skeleton,Endcap,32
47,411,26,5Ft Skeleton,Endcap,32
44,347,28,5Ft Skeleton,Endcap,32
40,336,29,5Ft Skeleton,Endcap,32
40,335,30,5Ft Skeleton,Endcap,32
44,351,31,5Ft Skeleton,Endcap,32
42,334,34,5Ft Skeleton,Endcap,32
47,407,35,5Ft Skeleton,Endcap,32
11,329,36,5Ft Skeleton,Endcap,32
40,335,37,5Ft Skeleton,Endcap,32
44,47,38,5Ft Skeleton,Endcap,32
44,410,39,5Ft Skeleton,Endcap,32
40,359,40,5Ft Skeleton,Endcap,32
44,345,41,5Ft Skeleton,Endcap,32
44,410,42,5Ft Skeleton,Endcap,32
47,407,43,5Ft Skeleton,Endcap,32
11,329,45,5Ft Skeleton,Endcap,32
40,357,46,5Ft Skeleton,Endcap,32
44,351,47,5Ft Skeleton,Endcap,32
42,334,48,5Ft Skeleton,Endcap,32
40,359,51,5Ft Skeleton,Endcap,32
42,325,52,5Ft Skeleton,Endcap,32
42,322,54,5Ft Skeleton,Endcap,32
42,325,58,5Ft Skeleton,Endcap,32
42,334,59,5Ft Skeleton,Endcap,32
40,339,60,5Ft Skeleton,Endcap,32
40,361,61,5Ft Skeleton,Endcap,32
40,336,65,5Ft Skeleton,Endcap,32
42,321,66,5Ft Skeleton,Endcap,32
40,335,69,5Ft Skeleton,Endcap,32
44,410,72,5Ft Skeleton,Endcap,32
44,356,73,5Ft Skeleton,Endcap,32
13,134,75,5Ft Skeleton,Endcap,32
42,322,76,5Ft Skeleton,Endcap,32
6,83,77,5Ft Skeleton,Endcap,32
42,334,79,5Ft Skeleton,Endcap,32
40,359,80,5Ft Skeleton,Endcap,32
44,347,81,5Ft Skeleton,Endcap,32
42,324,85,5Ft Skeleton,Endcap,32
40,357,86,5Ft Skeleton,Endcap,32
40,336,89,5Ft Skeleton,Endcap,32
44,347,90,5Ft Skeleton,Endcap,32
11,145,93,5Ft Skeleton,Endcap,32
11,145,94,5Ft Skeleton,Endcap,32
40,335,95,5Ft Skeleton,Endcap,32
40,361,96,5Ft Skeleton,Endcap,32
40,340,99,5Ft Skeleton,Endcap,32
42,323,100,5Ft Skeleton,Endcap,32
40,336,101,5Ft Skeleton,Endcap,32
44,351,103,5Ft Skeleton,Endcap,32
11,146,104,5Ft Skeleton,Endcap,32
11,4,105,5Ft Skeleton,Endcap,32
11,146,107,5Ft Skeleton,Endcap,32
44,344,108,5Ft Skeleton,Endcap,32
40,360,109,5Ft Skeleton,Endcap,32
3,89,110,5Ft Skeleton,Endcap,32
44,410,111,5Ft Skeleton,Endcap,32
11,138,112,5Ft Skeleton,Endcap,32
44,349,113,5Ft Skeleton,Endcap,32
11,4,114,5Ft Skeleton,Endcap,32
42,328,119,5Ft Skeleton,Endcap,32
44,351,121,5Ft Skeleton,Endcap,32
40,335,122,5Ft Skeleton,Endcap,32
42,321,125,5Ft Skeleton,Endcap,32
42,324,126,5Ft Skeleton,Endcap,32
42,325,127,5Ft Skeleton,Endcap,32
11,329,128,5Ft Skeleton,Endcap,32
44,350,129,5Ft Skeleton,Endcap,32
44,347,130,5Ft Skeleton,Endcap,32
44,344,134,5Ft Skeleton,Endcap,32
44,352,137,5Ft Skeleton,Endcap,32
40,357,138,5Ft Skeleton,Endcap,32
13,503,140,5Ft Skeleton,Endcap,32
42,321,141,5Ft Skeleton,Endcap,32
41,253,143,5Ft Skeleton,Endcap,32
42,322,144,5Ft Skeleton,Endcap,32
40,339,145,5Ft Skeleton,Endcap,32
44,350,147,5Ft Skeleton,Endcap,32
44,47,148,5Ft Skeleton,Endcap,32
44,344,150,5Ft Skeleton,Endcap,32
44,350,151,5Ft Skeleton,Endcap,32
40,335,152,5Ft Skeleton,Endcap,32
20,311,154,5Ft Skeleton,Endcap,32
11,136,155,5Ft Skeleton,Endcap,32
42,328,157,5Ft Skeleton,Endcap,32
40,359,159,5Ft Skeleton,Endcap,32
42,328,160,5Ft Skeleton,Endcap,32
44,349,162,5Ft Skeleton,Endcap,32
13,503,163,5Ft Skeleton,Endcap,32
13,46,165,5Ft Skeleton,Endcap,32
44,345,168,5Ft Skeleton,Endcap,32
40,340,172,5Ft Skeleton,Endcap,32
9,92,174,5Ft Skeleton,Endcap,32
11,144,175,5Ft Skeleton,Endcap,32
11,146,177,5Ft Skeleton,Endcap,32
40,357,179,5Ft Skeleton,Endcap,32
13,46,180,5Ft Skeleton,Endcap,32
40,361,184,5Ft Skeleton,Endcap,32
