Region Nbr,Market Nbr,Facility,OKM Tracking ,OKM Delivery Date,OKM Install Date,Digital Lock Tracking,Carrier,Digital Lock Install Week,Digital Lock Installation Date,Total lock count,Length of install
42,323,1,,,,,,Live,8/31/22,,
42,323,4,,,,,,Live,9/1/22,,
44,347,10,,,,,,Live,12/12/24,,
40,335,19,,,,,,Live,1/16/25,,
47,411,26,,,,,,Live,12/9/24,,
40,336,29,,,,,,Live,1/20/25,,
47,407,35,,,,,,Live,12/10/24,,
44,345,41,,,,,,Live,1/8/25,,
42,322,54,,,,,,Live,1/25/22,,
42,334,59,,,,,,Live,1/9/25,,
42,334,79,,,,,,Live,1/24/22,,
40,359,80,,,,,,Live,1/23/25,,
40,357,86,,,,,,Live,8/30/22,,
11,145,94,,,,,,Live,10/15/24,,
42,323,100,,,,,,Live,8/31/22,,
42,324,124,,,,,,Live,8/27/24,,
42,324,126,,,,,,Live,8/28/24,,
13,503,140,,,,,,Live,12/16/24,,
42,321,141,,,,,,Live,12/11/24,,
42,322,144,,,,,,Live,2/24/22,,
20,311,154,,,,,,Live,1/7/25,,
40,359,159,,,,,,Live,1/22/25,,
13,503,163,,,,,,Live,12/17/24,,
40,357,179,,,,,,Live,1/10/25,,
40,335,188,,,,,,Live,1/17/25,,
11,329,190,,,,,,Live,1/15/25,,
12,153,192,,,,,,Live,12/16/24,,
6,60,194,,,,,,Live,12/13/24,,
40,360,195,,,,,,Live,1/24/25,,
44,351,210,,,,,,Live,12/10/24,,
5,53,217,,,,,,Live,11/4/24,,
40,360,234,,,,,,Live,10/29/24,,
5,50,266,,,,,,Live,10/10/23,,
12,153,272,,,,,,Live,6/13/23,,
7,87,292,,,,,,Live,9/10/24,,
42,135,307,,,,,,Live,1/29/25,,
47,411,342,,,,,,Live,11/5/24,,
13,68,351,,,,,,Live,9/1/22,,
42,322,359,,,,,,Live,4/14/25,,
47,406,372,,,,,,Live,12/6/24,,
42,127,376,,,,,,Live,9/3/24,,
47,411,378,,,,,,Live,11/4/24,,
13,66,384,,,,,,Live,10/11/24,,
7,87,404,,,,,,Live,9/13/24,,
13,66,408,,,,,,Live,11/13/24,,
44,47,427,,,,,,Live,11/8/24,,
41,253,431,,,,,,Live,1/14/25,,
42,127,448,,,,,,Live,9/5/24,,
13,66,449,,,,,,Live,10/8/24,,
42,127,450,,,,,,Live,9/6/24,,
40,359,451,,,,,,Live,1/21/25,,
5,52,467,,,,,,Live,10/11/23,,
5,49,471,,,,,,Live,10/8/24,,
7,83,475,,,,,,Live,9/13/24,,
47,411,484,,,,,,Live,1/8/25,,
7,505,500,,,,,,Live,9/5/22,,
4,38,511,,,,,,Live,10/17/24,,
2,18,515,,,,,,Live,12/13/24,,
13,66,521,,,,,,Live,10/17/24,,
