Store,Market,Region,Feature Name ,"Feature Size (Half pallet, pallet, endcap, etc..)",Delivery Week
1,323,42,Cascade Platinum Plus,Standard Store Fixture,Current
2,322,42,Cascade Platinum Plus,Standard Store Fixture,Current
3,21,2,Cascade Platinum Plus,Standard Store Fixture,Current
4,323,42,Cascade Platinum Plus,Standard Store Fixture,Current
5,326,42,Cascade Platinum Plus,Standard Store Fixture,Current
7,326,42,Cascade Platinum Plus,Standard Store Fixture,Current
8,326,42,Cascade Platinum Plus,Standard Store Fixture,Current
9,335,40,Cascade Platinum Plus,Standard Store Fixture,Current
11,328,42,Cascade Platinum Plus,Standard Store Fixture,Current
12,347,44,Cascade Platinum Plus,Standard Store Fixture,Current
13,334,42,Cascade Platinum Plus,Standard Store Fixture,Current
14,357,40,Cascade Platinum Plus,Standard Store Fixture,Current
15,333,40,Cascade Platinum Plus,Standard Store Fixture,Current
16,321,42,Cascade Platinum Plus,Standard Store Fixture,Current
17,334,42,Cascade Platinum Plus,Standard Store Fixture,Current
18,328,42,Cascade Platinum Plus,Standard Store Fixture,Current
19,335,40,Cascade Platinum Plus,Standard Store Fixture,Current
20,357,40,Cascade Platinum Plus,Standard Store Fixture,Current
21,336,40,Cascade Platinum Plus,Standard Store Fixture,Current
22,347,44,Cascade Platinum Plus,Standard Store Fixture,Current
23,135,42,Cascade Platinum Plus,Standard Store Fixture,Current
24,326,42,Cascade Platinum Plus,Standard Store Fixture,Current
25,359,40,Cascade Platinum Plus,Standard Store Fixture,Current
27,357,40,Cascade Platinum Plus,Standard Store Fixture,Current
29,359,40,Cascade Platinum Plus,Standard Store Fixture,Current
30,335,40,Cascade Platinum Plus,Standard Store Fixture,Current
31,351,44,Cascade Platinum Plus,Standard Store Fixture,Current
32,333,40,Cascade Platinum Plus,Standard Store Fixture,Current
33,325,42,Cascade Platinum Plus,Standard Store Fixture,Current
34,334,42,Cascade Platinum Plus,Standard Store Fixture,Current
35,407,47,Cascade Platinum Plus,Standard Store Fixture,Current
36,329,12,Cascade Platinum Plus,Standard Store Fixture,Current
37,335,40,Cascade Platinum Plus,Standard Store Fixture,Current
38,47,44,Cascade Platinum Plus,Standard Store Fixture,Current
40,359,40,Cascade Platinum Plus,Standard Store Fixture,Current
41,345,44,Cascade Platinum Plus,Standard Store Fixture,Current
42,410,44,Cascade Platinum Plus,Standard Store Fixture,Current
43,407,47,Cascade Platinum Plus,Standard Store Fixture,Current
44,336,40,Cascade Platinum Plus,Standard Store Fixture,Current
45,329,12,Cascade Platinum Plus,Standard Store Fixture,Current
46,357,40,Cascade Platinum Plus,Standard Store Fixture,Current
47,351,44,Cascade Platinum Plus,Standard Store Fixture,Current
48,334,42,Cascade Platinum Plus,Standard Store Fixture,Current
49,47,44,Cascade Platinum Plus,Standard Store Fixture,Current
50,347,44,Cascade Platinum Plus,Standard Store Fixture,Current
51,339,40,Cascade Platinum Plus,Standard Store Fixture,Current
52,325,42,Cascade Platinum Plus,Standard Store Fixture,Current
54,322,42,Cascade Platinum Plus,Standard Store Fixture,Current
55,321,42,Cascade Platinum Plus,Standard Store Fixture,Current
56,333,40,Cascade Platinum Plus,Standard Store Fixture,Current
57,328,42,Cascade Platinum Plus,Standard Store Fixture,Current
58,325,42,Cascade Platinum Plus,Standard Store Fixture,Current
59,334,42,Cascade Platinum Plus,Standard Store Fixture,Current
60,339,40,Cascade Platinum Plus,Standard Store Fixture,Current
61,361,40,Cascade Platinum Plus,Standard Store Fixture,Current
62,329,12,Cascade Platinum Plus,Standard Store Fixture,Current
63,347,44,Cascade Platinum Plus,Standard Store Fixture,Current
64,146,41,Cascade Platinum Plus,Standard Store Fixture,Current
65,336,40,Cascade Platinum Plus,Standard Store Fixture,Current
66,321,42,Cascade Platinum Plus,Standard Store Fixture,Current
67,321,42,Cascade Platinum Plus,Standard Store Fixture,Current
68,329,12,Cascade Platinum Plus,Standard Store Fixture,Current
69,335,40,Cascade Platinum Plus,Standard Store Fixture,Current
70,329,12,Cascade Platinum Plus,Standard Store Fixture,Current
71,328,42,Cascade Platinum Plus,Standard Store Fixture,Current
72,410,44,Cascade Platinum Plus,Standard Store Fixture,Current
73,356,44,Cascade Platinum Plus,Standard Store Fixture,Current
75,134,13,Cascade Platinum Plus,Standard Store Fixture,Current
76,322,42,Cascade Platinum Plus,Standard Store Fixture,Current
78,357,40,Cascade Platinum Plus,Standard Store Fixture,Current
79,334,42,Cascade Platinum Plus,Standard Store Fixture,Current
80,359,40,Cascade Platinum Plus,Standard Store Fixture,Current
81,347,44,Cascade Platinum Plus,Standard Store Fixture,Current
82,335,40,Cascade Platinum Plus,Standard Store Fixture,Current
85,324,42,Cascade Platinum Plus,Standard Store Fixture,Current
86,357,40,Cascade Platinum Plus,Standard Store Fixture,Current
87,127,42,Cascade Platinum Plus,Standard Store Fixture,Current
88,357,40,Cascade Platinum Plus,Standard Store Fixture,Current
89,336,40,Cascade Platinum Plus,Standard Store Fixture,Current
90,347,44,Cascade Platinum Plus,Standard Store Fixture,Current
91,329,12,Cascade Platinum Plus,Standard Store Fixture,Current
92,334,42,Cascade Platinum Plus,Standard Store Fixture,Current
93,145,12,Cascade Platinum Plus,Standard Store Fixture,Current
94,145,12,Cascade Platinum Plus,Standard Store Fixture,Current
95,335,40,Cascade Platinum Plus,Standard Store Fixture,Current
96,361,40,Cascade Platinum Plus,Standard Store Fixture,Current
97,146,41,Cascade Platinum Plus,Standard Store Fixture,Current
99,336,40,Cascade Platinum Plus,Standard Store Fixture,Current
100,323,42,Cascade Platinum Plus,Standard Store Fixture,Current
101,336,40,Cascade Platinum Plus,Standard Store Fixture,Current
102,327,42,Cascade Platinum Plus,Standard Store Fixture,Current
103,351,44,Cascade Platinum Plus,Standard Store Fixture,Current
104,146,41,Cascade Platinum Plus,Standard Store Fixture,Current
105,4,12,Cascade Platinum Plus,Standard Store Fixture,Current
107,146,41,Cascade Platinum Plus,Standard Store Fixture,Current
108,344,44,Cascade Platinum Plus,Standard Store Fixture,Current
109,360,40,Cascade Platinum Plus,Standard Store Fixture,Current
110,89,9,Cascade Platinum Plus,Standard Store Fixture,Current
111,410,44,Cascade Platinum Plus,Standard Store Fixture,Current
