Store ,Market ,Region,Rollout Phase ,Fixture Arrival Week,Execution Set Week,Total Fixture Pallets
1,323,42,Oct-22,37,38,4
2,322,42,TBD,TBD,TBD,TBD
3,21,2,Oct-22,39,40,2
4,323,42,Oct-22,35,36,5
5,326,42,TBD,TBD,TBD,TBD
7,326,42,TBD,TBD,TBD,TBD
8,326,42,TBD,TBD,TBD,TBD
9,335,40,TBD,TBD,TBD,TBD
10,347,44,Oct-22,39,40,3
11,328,42,TBD,TBD,TBD,TBD
12,347,44,Oct-22,37,38,4
13,334,42,TBD,TBD,TBD,TBD
14,357,40,TBD,TBD,TBD,TBD
15,333,40,TBD,TBD,TBD,TBD
16,321,42,TBD,TBD,TBD,TBD
17,334,42,TBD,TBD,TBD,TBD
18,328,42,TBD,TBD,TBD,TBD
19,335,40,TBD,TBD,TBD,TBD
20,357,40,Oct-22,37,38,2
21,336,40,TBD,TBD,TBD,TBD
22,347,44,TBD,TBD,TBD,TBD
23,135,42,Oct-22,37,38,4
24,326,42,TBD,TBD,TBD,TBD
25,359,40,TBD,TBD,TBD,TBD
26,411,47,Oct-22,39,40,5
27,357,40,TBD,TBD,TBD,TBD
28,347,44,TBD,TBD,TBD,TBD
29,359,40,TBD,TBD,TBD,TBD
30,335,40,TBD,TBD,TBD,TBD
31,351,44,TBD,TBD,TBD,TBD
32,333,40,TBD,TBD,TBD,TBD
33,325,42,TBD,TBD,TBD,TBD
34,334,42,TBD,TBD,TBD,TBD
35,407,47,Oct-22,37,38,5
36,329,12,Oct-22,35,36,4
37,335,40,TBD,TBD,TBD,TBD
38,47,44,TBD,TBD,TBD,TBD
39,410,44,Oct-22,39,40,3
40,359,40,Oct-22,37,38,4
41,345,44,Oct-22,39,40,3
42,410,44,TBD,TBD,TBD,TBD
43,407,47,Oct-22,35,36,4
44,336,40,TBD,TBD,TBD,TBD
45,329,12,Oct-22,39,40,4
46,357,40,Oct-22,39,40,3
47,351,44,TBD,TBD,TBD,TBD
48,334,42,TBD,TBD,TBD,TBD
49,47,44,TBD,TBD,TBD,TBD
50,347,44,Oct-22,39,40,3
51,339,40,TBD,TBD,TBD,TBD
52,325,42,TBD,TBD,TBD,TBD
54,322,42,TBD,TBD,TBD,TBD
55,321,42,TBD,TBD,TBD,TBD
56,333,40,TBD,TBD,TBD,TBD
57,328,42,TBD,TBD,TBD,TBD
58,325,42,TBD,TBD,TBD,TBD
59,334,42,TBD,TBD,TBD,TBD
60,339,40,TBD,TBD,TBD,TBD
61,361,40,Oct-22,35,36,4
62,329,12,Oct-22,39,40,3
63,347,44,TBD,TBD,TBD,TBD
64,146,41,Oct-22,35,36,3
65,336,40,TBD,TBD,TBD,TBD
66,321,42,TBD,TBD,TBD,TBD
67,321,42,TBD,TBD,TBD,TBD
68,329,12,Oct-22,35,36,3
69,335,40,TBD,TBD,TBD,TBD
70,329,12,Oct-22,39,40,5
71,328,42,TBD,TBD,TBD,TBD
72,410,44,Oct-22,35,36,4
73,356,44,Oct-22,37,38,3
74,329,12,Oct-22,37,38,2
75,134,13,Oct-22,39,40,4
76,322,42,TBD,TBD,TBD,TBD
77,83,5,TBD,TBD,TBD,TBD
78,357,40,TBD,TBD,TBD,TBD
79,334,42,TBD,TBD,TBD,TBD
80,359,40,Oct-22,37,38,4
81,347,44,TBD,TBD,TBD,TBD
82,335,40,TBD,TBD,TBD,TBD
83,327,42,TBD,TBD,TBD,TBD
85,324,42,TBD,TBD,TBD,TBD
86,357,40,TBD,TBD,TBD,TBD
87,127,42,Oct-22,35,36,4
88,357,40,TBD,TBD,TBD,TBD
89,336,40,TBD,TBD,TBD,TBD
90,347,44,TBD,TBD,TBD,TBD
91,329,12,Oct-22,37,38,3
92,334,42,TBD,TBD,TBD,TBD
93,145,12,Oct-22,37,38,4
94,145,12,Oct-22,39,40,5
95,335,40,TBD,TBD,TBD,TBD
96,361,40,Oct-22,39,40,4
97,146,41,Oct-22,35,36,2
98,135,42,Oct-22,39,40,3
99,336,40,TBD,TBD,TBD,TBD
100,323,42,Oct-22,37,38,4
101,336,40,TBD,TBD,TBD,TBD
102,327,42,TBD,TBD,TBD,TBD
103,351,44,Oct-22,35,36,5
104,146,41,TBD,TBD,TBD,TBD
105,4,12,TBD,TBD,TBD,TBD
106,146,41,TBD,TBD,TBD,TBD
107,146,41,TBD,TBD,TBD,TBD
108,344,44,Oct-22,35,36,3
109,360,40,Oct-22,39,40,3
110,89,9,Oct-22,39,40,3
111,410,44,Oct-22,35,36,3
112,138,14,Oct-22,35,36,5
113,349,44,Oct-22,37,38,4
114,4,12,TBD,TBD,TBD,TBD
115,138,14,Oct-22,37,38,3
116,127,42,TBD,TBD,TBD,TBD
117,47,44,TBD,TBD,TBD,TBD
118,4,12,Oct-22,37,38,2
119,328,42,TBD,TBD,TBD,TBD
120,146,41,TBD,TBD,TBD,TBD
121,351,44,Oct-22,37,38,3
122,335,40,TBD,TBD,TBD,TBD
123,351,44,TBD,TBD,TBD,TBD
124,324,42,TBD,TBD,TBD,TBD
125,321,42,TBD,TBD,TBD,TBD
126,324,42,TBD,TBD,TBD,TBD
127,325,42,TBD,TBD,TBD,TBD
128,329,12,Oct-22,37,38,2
129,350,44,Oct-22,35,36,4
130,347,44,Oct-22,37,38,4
131,47,44,Oct-22,35,36,4
132,344,44,TBD,TBD,TBD,TBD
133,325,42,TBD,TBD,TBD,TBD
134,344,44,Oct-22,39,40,3
135,360,40,TBD,TBD,TBD,TBD
136,345,44,TBD,TBD,TBD,TBD
137,352,44,TBD,TBD,TBD,TBD
138,357,40,Oct-22,39,40,4
139,353,44,TBD,TBD,TBD,TBD
140,503,6,TBD,TBD,TBD,TBD
141,321,42,TBD,TBD,TBD,TBD
143,253,41,TBD,TBD,TBD,TBD
144,322,42,TBD,TBD,TBD,TBD
145,339,40,TBD,TBD,TBD,TBD
146,46,5,TBD,TBD,TBD,TBD
147,350,44,TBD,TBD,TBD,TBD
148,47,44,TBD,TBD,TBD,TBD
149,135,42,Oct-22,39,40,3
150,344,44,Oct-22,37,38,2
151,351,44,TBD,TBD,TBD,TBD
152,335,40,TBD,TBD,TBD,TBD
153,4,12,TBD,TBD,TBD,TBD
154,311,20,Oct-22,37,38,3
155,136,12,Oct-22,39,40,4
157,328,42,TBD,TBD,TBD,TBD
158,350,44,Oct-22,37,38,3
159,359,40,TBD,TBD,TBD,TBD
160,328,42,TBD,TBD,TBD,TBD
161,147,12,TBD,TBD,TBD,TBD
162,349,44,TBD,TBD,TBD,TBD
163,503,6,Oct-22,39,40,4
164,4,12,TBD,TBD,TBD,TBD
165,46,5,TBD,TBD,TBD,TBD
166,357,40,TBD,TBD,TBD,TBD
167,327,42,TBD,TBD,TBD,TBD
168,345,44,Oct-22,35,36,4
169,326,42,TBD,TBD,TBD,TBD
170,134,13,Oct-22,35,36,4
171,327,42,TBD,TBD,TBD,TBD
172,336,40,TBD,TBD,TBD,TBD
173,357,40,TBD,TBD,TBD,TBD
174,92,9,Oct-22,39,40,5
175,144,12,Oct-22,39,40,4
176,4,12,TBD,TBD,TBD,TBD
177,146,41,TBD,TBD,TBD,TBD
178,344,44,TBD,TBD,TBD,TBD
179,357,40,Oct-22,37,38,3
180,46,5,TBD,TBD,TBD,TBD
181,47,44,TBD,TBD,TBD,TBD
182,136,12,Oct-22,39,40,4
183,138,14,TBD,TBD,TBD,TBD
184,361,40,Oct-22,37,38,4
185,350,44,Oct-22,37,38,4
186,409,44,Oct-22,37,38,5
188,335,40,TBD,TBD,TBD,TBD
189,359,40,TBD,TBD,TBD,TBD
190,329,12,TBD,TBD,TBD,TBD
192,147,12,Oct-22,37,38,5
194,60,6,Oct-22,35,36,5
195,360,40,Oct-22,35,36,4
196,271,25,Oct-22,35,36,4
197,278,25,Oct-22,39,40,4
198,272,25,TBD,TBD,TBD,TBD
199,278,25,Oct-22,35,36,4
200,275,25,TBD,TBD,TBD,TBD
201,341,25,TBD,TBD,TBD,TBD
202,51,5,TBD,TBD,TBD,TBD
203,359,40,TBD,TBD,TBD,TBD
204,253,41,TBD,TBD,TBD,TBD
205,138,14,Oct-22,39,40,3
206,52,5,TBD,TBD,TBD,TBD
207,345,44,TBD,TBD,TBD,TBD
209,321,42,TBD,TBD,TBD,TBD
210,351,44,TBD,TBD,TBD,TBD
211,76,5,Oct-22,35,36,3
212,353,44,TBD,TBD,TBD,TBD
213,272,25,TBD,TBD,TBD,TBD
214,503,6,Oct-22,37,38,4
216,271,25,Oct-22,39,40,5
217,53,5,Oct-22,39,40,4
218,147,12,TBD,TBD,TBD,TBD
219,359,40,Oct-22,39,40,4
220,48,5,Oct-22,39,40,4
221,344,44,Oct-22,37,38,3
222,271,25,TBD,TBD,TBD,TBD
224,272,25,TBD,TBD,TBD,TBD
225,350,44,TBD,TBD,TBD,TBD
226,47,44,TBD,TBD,TBD,TBD
227,344,44,Oct-22,35,36,3
228,48,5,TBD,TBD,TBD,TBD
229,329,12,TBD,TBD,TBD,TBD
230,321,42,TBD,TBD,TBD,TBD
231,350,44,Oct-22,39,40,5
232,350,44,TBD,TBD,TBD,TBD
233,271,25,TBD,TBD,TBD,TBD
234,360,40,Oct-22,39,40,4
236,503,6,Oct-22,39,40,2
237,271,25,Oct-22,39,40,4
238,147,12,TBD,TBD,TBD,TBD
239,138,14,Oct-22,35,36,2
240,47,44,Oct-22,37,38,2
242,410,44,TBD,TBD,TBD,TBD
243,339,40,TBD,TBD,TBD,TBD
244,135,42,Oct-22,39,40,2
246,345,44,Oct-22,39,40,3
247,351,44,TBD,TBD,TBD,TBD
248,76,5,Oct-22,39,40,2
249,503,6,Oct-22,35,36,3
250,336,40,TBD,TBD,TBD,TBD
251,45,5,TBD,TBD,TBD,TBD
252,271,25,TBD,TBD,TBD,TBD
253,272,25,TBD,TBD,TBD,TBD
254,273,25,TBD,TBD,TBD,TBD
256,341,25,TBD,TBD,TBD,TBD
257,254,41,Oct-22,37,38,2
258,4,12,TBD,TBD,TBD,TBD
259,583,5,TBD,TBD,TBD,TBD
260,55,5,Oct-22,37,38,4
261,325,42,TBD,TBD,TBD,TBD
262,271,25,TBD,TBD,TBD,TBD
264,149,12,TBD,TBD,TBD,TBD
265,45,5,Oct-22,39,40,4
266,50,5,Oct-22,39,40,4
267,334,42,TBD,TBD,TBD,TBD
268,147,12,TBD,TBD,TBD,TBD
269,349,44,Oct-22,39,40,4
271,349,44,Oct-22,39,40,3
272,153,12,TBD,TBD,TBD,TBD
273,4,12,TBD,TBD,TBD,TBD
274,4,12,TBD,TBD,TBD,TBD
275,503,6,Oct-22,39,40,4
276,351,44,TBD,TBD,TBD,TBD
277,353,44,Oct-22,37,38,4
278,127,42,Oct-22,37,38,5
279,321,42,TBD,TBD,TBD,TBD
280,83,5,TBD,TBD,TBD,TBD
281,328,42,TBD,TBD,TBD,TBD
282,253,41,Oct-22,37,38,3
283,66,13,TBD,TBD,TBD,TBD
284,44,5,TBD,TBD,TBD,TBD
285,503,6,Oct-22,35,36,4
286,55,5,Oct-22,35,36,4
287,11,14,Oct-22,39,40,5
288,503,6,TBD,TBD,TBD,TBD
289,327,42,TBD,TBD,TBD,TBD
290,77,6,TBD,TBD,TBD,TBD
292,87,6,TBD,TBD,TBD,TBD
293,85,6,TBD,TBD,TBD,TBD
294,253,41,TBD,TBD,TBD,TBD
295,340,40,TBD,TBD,TBD,TBD
296,325,42,TBD,TBD,TBD,TBD
297,59,6,Oct-22,39,40,4
298,5,12,Oct-22,39,40,5
299,254,41,Oct-22,39,40,4
300,3,14,Oct-22,39,40,3
301,3,14,Oct-22,39,40,4
302,271,25,Oct-22,37,38,3
303,4,12,Oct-22,37,38,3
304,149,12,Oct-22,39,40,4
305,138,14,TBD,TBD,TBD,TBD
306,5,12,TBD,TBD,TBD,TBD
307,135,42,Oct-22,39,40,3
308,152,41,TBD,TBD,TBD,TBD
309,132,13,Oct-22,39,40,5
310,132,13,Oct-22,37,38,5
311,129,13,TBD,TBD,TBD,TBD
312,134,13,Oct-22,39,40,3
313,335,40,TBD,TBD,TBD,TBD
314,151,12,TBD,TBD,TBD,TBD
315,3,14,TBD,TBD,TBD,TBD
316,3,14,Oct-22,35,36,4
317,272,25,TBD,TBD,TBD,TBD
318,325,42,TBD,TBD,TBD,TBD
319,361,40,Oct-22,35,36,3
320,76,5,Oct-22,35,36,2
321,85,6,TBD,TBD,TBD,TBD
322,85,6,Oct-22,37,38,4
323,127,42,TBD,TBD,TBD,TBD
324,356,44,TBD,TBD,TBD,TBD
325,360,40,TBD,TBD,TBD,TBD
326,361,40,TBD,TBD,TBD,TBD
328,341,25,TBD,TBD,TBD,TBD
329,10,14,Oct-22,37,38,4
330,84,6,Oct-22,39,40,4
331,66,13,Oct-22,37,38,4
332,5,12,Oct-22,37,38,4
333,254,41,TBD,TBD,TBD,TBD
334,275,25,TBD,TBD,TBD,TBD
335,146,41,Oct-22,37,38,4
336,325,42,TBD,TBD,TBD,TBD
337,335,40,TBD,TBD,TBD,TBD
338,334,42,TBD,TBD,TBD,TBD
339,327,42,TBD,TBD,TBD,TBD
340,351,44,TBD,TBD,TBD,TBD
341,407,47,TBD,TBD,TBD,TBD
342,411,47,TBD,TBD,TBD,TBD
343,275,25,TBD,TBD,TBD,TBD
344,65,6,Oct-22,35,36,3
345,46,5,Oct-22,37,38,2
346,409,44,TBD,TBD,TBD,TBD
347,136,12,Oct-22,37,38,4
348,327,42,TBD,TBD,TBD,TBD
350,433,47,TBD,TBD,TBD,TBD
351,68,6,Oct-22,39,40,3
352,271,25,TBD,TBD,TBD,TBD
353,48,5,TBD,TBD,TBD,TBD
354,336,40,TBD,TBD,TBD,TBD
355,10,14,Oct-22,37,38,4
356,10,14,TBD,TBD,TBD,TBD
357,336,40,TBD,TBD,TBD,TBD
358,321,42,TBD,TBD,TBD,TBD
359,322,42,Oct-22,39,40,5
360,352,44,TBD,TBD,TBD,TBD
361,341,25,TBD,TBD,TBD,TBD
362,11,14,TBD,TBD,TBD,TBD
363,361,40,Oct-22,37,38,3
364,503,6,TBD,TBD,TBD,TBD
365,140,13,Oct-22,37,38,5
366,121,2,TBD,TBD,TBD,TBD
368,410,44,TBD,TBD,TBD,TBD
369,406,47,Oct-22,39,40,3
370,406,47,Oct-22,35,36,3
371,48,5,TBD,TBD,TBD,TBD
372,406,47,Oct-22,37,38,4
373,322,42,Oct-22,35,36,3
374,347,44,TBD,TBD,TBD,TBD
375,5,12,Oct-22,35,36,3
376,127,42,Oct-22,37,38,4
378,411,47,TBD,TBD,TBD,TBD
379,333,40,TBD,TBD,TBD,TBD
381,81,5,Oct-22,39,40,5
382,410,44,TBD,TBD,TBD,TBD
383,66,13,Oct-22,35,36,3
384,66,13,Oct-22,39,40,3
385,84,6,TBD,TBD,TBD,TBD
386,132,13,Oct-22,35,36,5
387,352,44,TBD,TBD,TBD,TBD
388,321,42,TBD,TBD,TBD,TBD
389,352,44,Oct-22,39,40,4
390,149,12,TBD,TBD,TBD,TBD
391,4,12,Oct-22,39,40,4
392,344,44,TBD,TBD,TBD,TBD
393,147,12,Oct-22,39,40,4
394,137,12,TBD,TBD,TBD,TBD
395,80,6,Oct-22,37,38,4
396,39,2,Oct-22,35,36,5
397,80,6,Oct-22,37,38,5
398,46,5,Oct-22,39,40,4
399,46,5,Oct-22,39,40,5
400,68,6,Oct-22,35,36,4
401,131,13,Oct-22,37,38,3
402,132,13,Oct-22,35,36,4
403,137,12,TBD,TBD,TBD,TBD
404,87,6,TBD,TBD,TBD,TBD
405,134,13,TBD,TBD,TBD,TBD
406,153,12,Oct-22,37,38,4
407,81,5,Oct-22,37,38,5
408,66,13,Oct-22,37,38,4
409,137,12,TBD,TBD,TBD,TBD
410,146,41,Oct-22,39,40,5
411,138,14,TBD,TBD,TBD,TBD
412,45,5,TBD,TBD,TBD,TBD
413,569,6,Oct-22,35,36,3
414,349,44,TBD,TBD,TBD,TBD
415,132,13,Oct-22,37,38,4
416,151,12,Oct-22,35,36,3
417,47,44,TBD,TBD,TBD,TBD
418,407,47,Oct-22,37,38,2
419,406,47,TBD,TBD,TBD,TBD
420,349,44,TBD,TBD,TBD,TBD
421,479,5,TBD,TBD,TBD,TBD
422,273,25,TBD,TBD,TBD,TBD
423,13,14,Oct-22,37,38,5
424,8,14,TBD,TBD,TBD,TBD
425,11,14,Oct-22,35,36,3
426,53,5,Oct-22,35,36,4
427,47,44,Oct-22,39,40,3
428,130,13,Oct-22,39,40,3
429,80,6,Oct-22,35,36,4
430,253,41,Oct-22,39,40,2
431,253,41,Oct-22,35,36,4
432,10,14,Oct-22,39,40,3
433,5,12,Oct-22,39,40,4
434,5,12,Oct-22,39,40,3
435,272,25,TBD,TBD,TBD,TBD
436,272,25,TBD,TBD,TBD,TBD
437,84,6,Oct-22,39,40,4
438,74,5,TBD,TBD,TBD,TBD
440,78,6,Oct-22,37,38,3
442,78,6,Oct-22,39,40,5
443,88,46,Oct-22,35,36,3
444,333,40,TBD,TBD,TBD,TBD
445,256,41,TBD,TBD,TBD,TBD
446,85,6,TBD,TBD,TBD,TBD
447,88,46,Oct-22,39,40,4
448,127,42,Oct-22,35,36,4
449,66,13,Oct-22,35,36,4
450,127,42,Oct-22,39,40,4
451,359,40,Oct-22,35,36,3
452,80,6,Oct-22,39,40,5
453,329,12,TBD,TBD,TBD,TBD
454,273,25,TBD,TBD,TBD,TBD
456,569,6,Oct-22,35,36,4
457,66,13,TBD,TBD,TBD,TBD
458,78,6,Oct-22,39,40,4
459,25,2,TBD,TBD,TBD,TBD
461,88,46,Oct-22,35,36,5
462,61,6,Oct-22,39,40,5
463,84,6,Oct-22,35,36,4
464,78,6,TBD,TBD,TBD,TBD
465,77,6,Oct-22,39,40,2
466,147,12,Oct-22,39,40,2
467,52,5,Oct-22,39,40,4
468,47,44,Oct-22,39,40,4
469,66,13,Oct-22,37,38,3
470,78,6,Oct-22,39,40,4
471,49,5,TBD,TBD,TBD,TBD
472,356,44,Oct-22,39,40,4
473,85,6,TBD,TBD,TBD,TBD
475,83,5,Oct-22,37,38,4
476,81,5,TBD,TBD,TBD,TBD
477,119,2,TBD,TBD,TBD,TBD
478,77,6,TBD,TBD,TBD,TBD
479,349,44,Oct-22,35,36,3
480,275,25,TBD,TBD,TBD,TBD
481,273,25,Oct-22,39,40,4
482,61,6,TBD,TBD,TBD,TBD
483,8,14,TBD,TBD,TBD,TBD
484,411,47,Oct-22,39,40,4
485,129,13,Oct-22,39,40,3
486,362,40,TBD,TBD,TBD,TBD
488,97,3,Oct-22,35,36,3
489,128,13,Oct-22,39,40,4
490,78,6,Oct-22,37,38,4
491,253,41,Oct-22,39,40,5
492,273,25,Oct-22,35,36,4
493,260,41,TBD,TBD,TBD,TBD
494,16,3,Oct-22,37,38,4
495,138,14,Oct-22,39,40,5
497,242,41,TBD,TBD,TBD,TBD
498,134,13,TBD,TBD,TBD,TBD
499,344,44,Oct-22,35,36,3
500,505,46,TBD,TBD,TBD,TBD
501,141,13,Oct-22,37,38,5
502,129,13,TBD,TBD,TBD,TBD
503,84,6,TBD,TBD,TBD,TBD
