Market,RDC,Phase 1 Date,Phase 2 Date,Phase 3 Date
323,6094,1/1/2028,4/1/2029,#N/A
322,6094,1/1/2028,4/1/2029,#N/A
21,6054,4/1/2027,7/1/2028,#N/A
323,6094,1/1/2028,4/1/2029,#N/A
326,6018,3/17/2025,11/13/2026,3/13/2028
326,6018,3/17/2025,11/13/2026,3/13/2028
326,6018,3/17/2025,11/13/2026,3/13/2028
335,6069,4/1/2028,7/1/2029,#N/A
347,6094,1/1/2028,4/1/2029,#N/A
328,6018,3/17/2025,11/13/2026,3/13/2028
347,6094,1/1/2028,4/1/2029,#N/A
334,6094,1/1/2028,4/1/2029,#N/A
357,6069,4/1/2028,7/1/2029,#N/A
333,6069,4/1/2028,7/1/2029,#N/A
321,6094,1/1/2028,4/1/2029,#N/A
334,6094,1/1/2028,4/1/2029,#N/A
328,6018,3/17/2025,11/13/2026,3/13/2028
335,6018,3/17/2025,11/13/2026,3/13/2028
361,6035,8/15/2024,1/26/2026,5/26/2027
336,6069,4/1/2028,7/1/2029,#N/A
347,6094,1/1/2028,4/1/2029,#N/A
135,6048,11/1/2026,2/1/2028,#N/A
326,6018,3/17/2025,11/13/2026,3/13/2028
359,6069,4/1/2028,7/1/2029,#N/A
411,6035,8/15/2024,1/26/2026,5/26/2027
357,6069,4/1/2028,7/1/2029,#N/A
347,6094,1/1/2028,4/1/2029,#N/A
336,6069,4/1/2028,7/1/2029,#N/A
335,6018,3/17/2025,11/13/2026,3/13/2028
351,6094,1/1/2028,4/1/2029,#N/A
333,6094,1/1/2028,4/1/2029,#N/A
325,6018,3/17/2025,11/13/2026,3/13/2028
334,6094,1/1/2028,4/1/2029,#N/A
407,6035,8/15/2024,1/26/2026,5/26/2027
329,6018,3/17/2025,11/13/2026,3/13/2028
335,6069,4/1/2028,7/1/2029,#N/A
47,6018,3/17/2025,11/13/2026,3/13/2028
410,6035,8/15/2024,1/26/2026,5/26/2027
359,6069,4/1/2028,7/1/2029,#N/A
345,6094,1/1/2028,4/1/2029,#N/A
410,6094,1/1/2028,4/1/2029,#N/A
407,6035,8/15/2024,1/26/2026,5/26/2027
336,6069,4/1/2028,7/1/2029,#N/A
329,6018,3/17/2025,11/13/2026,3/13/2028
357,6069,4/1/2028,7/1/2029,#N/A
351,6094,1/1/2028,4/1/2029,#N/A
334,6094,1/1/2028,4/1/2029,#N/A
47,6036,2/16/2023,12/5/2024,4/5/2026
347,6094,1/1/2028,4/1/2029,#N/A
359,6069,4/1/2028,7/1/2029,#N/A
325,6018,3/17/2025,11/13/2026,3/13/2028
322,6094,1/1/2028,4/1/2029,#N/A
321,6094,1/1/2028,4/1/2029,#N/A
333,6069,4/1/2028,7/1/2029,#N/A
328,6018,3/17/2025,11/13/2026,3/13/2028
325,6018,3/17/2025,11/13/2026,3/13/2028
334,6094,1/1/2028,4/1/2029,#N/A
339,6069,4/1/2028,7/1/2029,#N/A
361,6035,8/15/2024,1/26/2026,5/26/2027
329,6018,3/17/2025,11/13/2026,3/13/2028
347,6094,1/1/2028,4/1/2029,#N/A
146,6018,3/17/2025,11/13/2026,3/13/2028
336,6069,4/1/2028,7/1/2029,#N/A
321,6094,1/1/2028,4/1/2029,#N/A
321,6094,1/1/2028,4/1/2029,#N/A
329,6018,3/17/2025,11/13/2026,3/13/2028
335,6069,4/1/2028,7/1/2029,#N/A
329,6018,3/17/2025,11/13/2026,3/13/2028
328,6018,3/17/2025,11/13/2026,3/13/2028
410,6094,1/1/2028,4/1/2029,#N/A
356,6094,1/1/2028,4/1/2029,#N/A
329,6018,3/17/2025,11/13/2026,3/13/2028
134,6048,11/1/2026,2/1/2028,#N/A
322,6094,1/1/2028,4/1/2029,#N/A
83,6016,2/16/2023,11/12/2024,3/12/2026
357,6069,4/1/2028,7/1/2029,#N/A
334,6094,1/1/2028,4/1/2029,#N/A
359,6069,4/1/2028,7/1/2029,#N/A
347,6094,1/1/2028,4/1/2029,#N/A
335,6069,4/1/2028,7/1/2029,#N/A
327,6018,3/17/2025,11/13/2026,3/13/2028
324,6018,3/17/2025,11/13/2026,3/13/2028
357,6069,4/1/2028,7/1/2029,#N/A
127,6036,2/16/2023,12/5/2024,4/5/2026
357,6069,4/1/2028,7/1/2029,#N/A
336,6069,4/1/2028,7/1/2029,#N/A
347,6094,1/1/2028,4/1/2029,#N/A
329,6018,3/17/2025,11/13/2026,3/13/2028
334,6094,1/1/2028,4/1/2029,#N/A
145,6018,3/17/2025,11/13/2026,3/13/2028
145,6018,3/17/2025,11/13/2026,3/13/2028
335,6069,4/1/2028,7/1/2029,#N/A
361,6035,8/15/2024,1/26/2026,5/26/2027
146,6018,3/17/2025,11/13/2026,3/13/2028
135,6011,2/29/2024,9/12/2025,1/12/2027
340,6069,4/1/2028,7/1/2029,#N/A
323,6094,1/1/2028,4/1/2029,#N/A
336,6069,4/1/2028,7/1/2029,#N/A
327,6018,3/17/2025,11/13/2026,3/13/2028
351,6094,1/1/2028,4/1/2029,#N/A
146,6066,7/1/2027,10/1/2028,#N/A
4,6006,8/22/2024,4/2/2026,8/2/2027
146,6066,7/1/2027,10/1/2028,#N/A
146,6066,7/1/2027,10/1/2028,#N/A
344,6094,1/1/2028,4/1/2029,#N/A
360,6035,8/15/2024,1/26/2026,5/26/2027
89,6020,5/1/2022,9/1/2024,In Progress
410,6035,8/15/2024,1/26/2026,5/26/2027
138,6006,8/22/2024,4/2/2026,8/2/2027
349,6068,4/1/2028,7/1/2029,#N/A
4,6006,8/22/2024,4/2/2026,8/2/2027
138,6006,8/22/2024,4/2/2026,8/2/2027
127,6036,2/16/2023,12/5/2024,4/5/2026
47,6018,3/17/2025,11/13/2026,3/13/2028
4,6006,8/22/2024,4/2/2026,8/2/2027
328,6018,3/17/2025,11/13/2026,3/13/2028
146,6066,7/1/2027,10/1/2028,#N/A
351,6094,1/1/2028,4/1/2029,#N/A
335,6069,4/1/2028,7/1/2029,#N/A
351,6094,1/1/2028,4/1/2029,#N/A
324,6018,3/17/2025,11/13/2026,3/13/2028
321,6094,1/1/2028,4/1/2029,#N/A
324,6018,3/17/2025,11/13/2026,3/13/2028
325,6018,3/17/2025,11/13/2026,3/13/2028
329,6018,3/17/2025,11/13/2026,3/13/2028
350,6068,4/1/2028,7/1/2029,#N/A
347,6094,1/1/2028,4/1/2029,#N/A
47,6036,2/16/2023,12/5/2024,4/5/2026
344,6094,1/1/2028,4/1/2029,#N/A
325,6018,3/17/2025,11/13/2026,3/13/2028
344,6012,12/18/2024,6/18/2026,10/18/2027
360,6009,10/1/2026,1/1/2028,#N/A
345,6094,1/1/2028,4/1/2029,#N/A
352,6094,1/1/2028,4/1/2029,#N/A
357,6069,4/1/2028,7/1/2029,#N/A
353,6068,4/1/2028,7/1/2029,#N/A
503,6036,2/16/2023,12/5/2024,4/5/2026
321,6094,1/1/2028,4/1/2029,#N/A
253,6066,7/1/2027,10/1/2028,#N/A
322,6094,1/1/2028,4/1/2029,#N/A
339,6009,10/1/2026,1/1/2028,#N/A
46,6036,2/16/2023,12/5/2024,4/5/2026
350,6068,4/1/2028,7/1/2029,#N/A
47,6036,2/16/2023,12/5/2024,4/5/2026
135,6048,11/1/2026,2/1/2028,#N/A
344,6012,12/18/2024,6/18/2026,10/18/2027
350,6094,1/1/2028,4/1/2029,#N/A
335,6069,4/1/2028,7/1/2029,#N/A
4,6006,8/22/2024,4/2/2026,8/2/2027
311,6039,11/2/2023,4/18/2025,8/18/2026
136,6018,3/17/2025,11/13/2026,3/13/2028
328,6018,3/17/2025,11/13/2026,3/13/2028
350,6036,2/16/2023,12/5/2024,4/5/2026
359,6069,4/1/2028,7/1/2029,#N/A
328,6018,3/17/2025,11/13/2026,3/13/2028
147,6066,7/1/2027,10/1/2028,#N/A
349,6068,4/1/2028,7/1/2029,#N/A
503,6036,2/16/2023,12/5/2024,4/5/2026
4,6006,8/22/2024,4/2/2026,8/2/2027
46,6036,2/16/2023,12/5/2024,4/5/2026
357,6069,4/1/2028,7/1/2029,#N/A
327,6018,3/17/2025,11/13/2026,3/13/2028
345,6094,1/1/2028,4/1/2029,#N/A
326,6018,3/17/2025,11/13/2026,3/13/2028
